year,country,religionCode,population,submitDate
2010,USA,budgen,3410236,2011-08-19
2010,USA,zorogen,1644887,2011-07-02
2010,USA,hindgen,1797698,2011-12-23
2010,USA,sikhgen,406908,2011-11-13
2010,USA,shntgen,156375,2011-05-10
2010,USA,taogen,11768,2011-10-22
2010,USA,jaingen,83984,2011-12-19
1945,CAN,chrstgen,10531961,1946-05-25
1945,CAN,judgen,176690,1946-08-02
1945,CAN,islmgen,0,1946-10-29
1945,CAN,budgen,115066,1946-11-08
1945,CAN,zorogen,0,1946-03-15
1945,CAN,hindgen,0,1946-07-30
1945,CAN,sikhgen,5000,1946-01-20
1945,CAN,shntgen,0,1946-02-07
1945,CAN,taogen,0,1946-03-22
1945,CAN,jaingen,0,1946-11-22
1950,CAN,chrstgen,12225479,1951-04-11
1950,CAN,judgen,179954,1951-12-22
1950,CAN,islmgen,2006,1951-07-05
1950,CAN,budgen,112006,1951-02-02
1950,CAN,zorogen,0,1951-09-03
1950,CAN,hindgen,2006,1951-02-26
1950,CAN,sikhgen,10001,1951-03-05
1950,CAN,shntgen,0,1951-06-16
1950,CAN,taogen,0,1951-10-25
1950,CAN,jaingen,0,1951-09-05
1955,CAN,chrstgen,13969532,1956-08-07
1955,CAN,judgen,217160,1956-01-27
1955,CAN,islmgen,1003,1956-10-14
1955,CAN,budgen,446608,1956-03-04
1955,CAN,zorogen,0,1956-06-10
1955,CAN,hindgen,1003,1956-07-19
1955,CAN,sikhgen,5000,1956-10-06
1955,CAN,shntgen,0,1956-10-25
1955,CAN,taogen,0,1956-01-02
1955,CAN,jaingen,0,1956-05-06
1960,CAN,chrstgen,16170219,1961-12-07
1960,CAN,judgen,254366,1961-11-28
1960,CAN,islmgen,0,1961-02-05
1960,CAN,budgen,781211,1961-07-25
1960,CAN,zorogen,0,1961-11-07
1960,CAN,hindgen,0,1961-05-21
1960,CAN,sikhgen,0,1961-03-14
1960,CAN,shntgen,0,1961-11-23
1960,CAN,taogen,0,1961-07-25
